image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f671ab28b001762c204,information_sign,904,768,16,12,0.82,0.434,0.253,0.181,Good
5f127f671ab28b001762c204,information_sign,602,661,36,34,1.02,0.6,0.37,0.23,Recheck
5f127f671ab28b001762c204,information_sign,423,424,107,105,2.32,0.311,0.537,0.226,Recheck
5f127f671ab28b001762c204,information_sign,157,736,35,45,2.54,0.435,0.389,0.046,Good
5f127f671ab28b001762c204,information_sign,425,424,107,105,1.94,0.327,0.535,0.208,Good
5f127f671ab28b001762c204,information_sign,424,424,107,105,2.16,0.321,0.536,0.215,Good
5f127f671ab28b001762c204,information_sign,425,422,107,105,1.73,0.327,0.539,0.212,Good
5f127f671ab28b001762c204,information_sign,424,424,107,105,2.16,0.321,0.536,0.215,Good
5f127f671ab28b001762c204,information_sign,424,423,107,105,2.07,0.321,0.534,0.214,Good
5f127f671ab28b001762c204,traffic_control_sign,1810,503,73,78,5.91,0.467,0.3,0.167,Recheck
5f127f671ab28b001762c204,traffic_control_sign,1710,502,73,72,1.2,0.376,0.439,0.063,Good
5f127f671ab28b001762c204,traffic_control_sign,1623,508,23,71,9.61,0.161,0.191,0.03,Recheck
5f127f671ab28b001762c204,traffic_control_sign,1227,607,12,42,6.93,0.129,0.15,0.021,Recheck
5f127f671ab28b001762c204,traffic_control_sign,1138,750,18,21,1.52,0.239,0.511,0.271,Recheck
5f127f671ab28b001762c204,traffic_control_sign,1096,663,28,28,1.1,0.464,0.318,0.146,Good
5f127f671ab28b001762c204,traffic_control_sign,1026,671,13,34,6.88,0.166,0.106,0.061,Recheck
5f127f671ab28b001762c204,traffic_control_sign,1060,675,26,26,1.37,0.415,0.526,0.111,Good
5f127f671ab28b001762c204,traffic_control_sign,964,703,18,17,1.1,0.477,0.228,0.249,Recheck
5f127f671ab28b001762c204,traffic_control_sign,940,702,18,19,0.65,0.501,0.485,0.016,Good
5f127f671ab28b001762c204,traffic_control_sign,901,748,23,20,0.88,0.321,0.427,0.106,Good
5f127f671ab28b001762c204,traffic_control_sign,585,611,14,30,1.82,0.228,0.217,0.011,Good
5f127f671ab28b001762c204,traffic_control_sign,531,530,21,57,1.86,0.153,0.144,0.009,Good
5f127f671ab28b001762c204,traffic_control_sign,297,430,90,91,2.79,0.597,0.236,0.361,Recheck
5f127f671ab28b001762c204,traffic_control_sign,408,520,64,66,0.96,0.457,0.523,0.066,Good
5f127f671ab28b001762c204,traffic_control_sign,209,727,90,32,4.69,0.21,0.184,0.025,Good
5f127f671ab28b001762c204,traffic_control_sign,823,667,10,23,0.44,0.214,0.254,0.04,Size Too Small
5f127f671ab28b001762c204,traffic_control_sign,873,692,9,19,1.5,0.312,0.26,0.052,Size Too Small
5f127f671ab28b001762c204,traffic_control_sign,866,695,7,16,0.87,0.126,0.313,0.186,Size Too Small
5f127f671ab28b001762c204,traffic_control_sign,848,687,7,16,0.73,0.16,0.248,0.088,Size Too Small
5f127f671ab28b001762c204,traffic_control_sign,666,667,7,16,1.37,0.259,0.071,0.188,Size Too Small
5f127f671ab28b001762c204,non_visible_face,1590,491,88,88,2.59,0.596,0.274,0.323,Recheck
5f127f671ab28b001762c204,non_visible_face,1206,599,50,51,1.38,0.725,0.329,0.397,Recheck
5f127f671ab28b001762c204,non_visible_face,1051,663,30,28,0.42,0.272,0.241,0.031,Good
5f127f671ab28b001762c204,non_visible_face,574,604,41,39,1.2,0.31,0.284,0.026,Good
5f127f671ab28b001762c204,non_visible_face,551,572,53,57,6.42,0.284,0.257,0.027,Recheck
5f127f671ab28b001762c204,non_visible_face,503,522,76,71,3.78,0.414,0.364,0.05,Good
5f127f671ab28b001762c204,non_visible_face,174,430,88,86,0.39,0.506,0.483,0.023,Good
5f127f671ab28b001762c204,non_visible_face,325,522,68,63,3.53,0.47,0.412,0.058,Good
5f127f671ab28b001762c204,non_visible_face,479,580,44,42,3.48,0.405,0.37,0.035,Good
5f127f671ab28b001762c204,non_visible_face,508,599,38,38,4.9,0.393,0.278,0.115,Good
5f127f671ab28b001762c204,non_visible_face,351,765,32,30,6.93,0.265,0.422,0.157,Recheck
5f127f671ab28b001762c204,non_visible_face,230,769,41,42,7.16,0.287,0.357,0.07,Recheck
5f127f671ab28b001762c204,non_visible_face,2,723,133,55,3.78,0.304,0.217,0.087,Good
5f127f671ab28b001762c204,policy_sign,1106,744,16,17,0.48,0.313,0.588,0.275,Recheck
5f127f671ab28b001762c204,policy_sign,1098,692,22,11,0.78,0.189,0.179,0.011,Good
5f127f671ab28b001762c204,policy_sign,1062,702,19,10,0.66,0.198,0.156,0.042,Size Too Small
5f127f671ab28b001762c204,policy_sign,1038,753,15,13,0.21,0.724,0.719,0.005,Good
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f643a6b1000172320a5,information_sign,1335,270,20,28,0.15,0.425,0.408,0.017,Good
5f127f643a6b1000172320a5,information_sign,1132,280,5,7,0.66,0.415,0.445,0.03,Size Too Small
5f127f643a6b1000172320a5,non_visible_face,982,258,9,14,0.62,0.288,0.386,0.098,Size Too Small
5f127f643a6b1000172320a5,policy_sign,914,295,7,9,0.71,0.436,0.313,0.123,Size Too Small
5f127f643a6b1000172320a5,policy_sign,914,304,7,9,0.9,0.357,0.159,0.198,Size Too Small
5f127f643a6b1000172320a5,policy_sign,833,306,11,13,0.35,0.478,0.508,0.03,Good
5f127f643a6b1000172320a5,policy_sign,833,320,11,13,1.46,0.379,0.327,0.052,Good
5f127f643a6b1000172320a5,policy_sign,965,280,5,11,0.59,0.292,0.245,0.046,Size Too Small
5f127f643a6b1000172320a5,policy_sign,1812,0,67,56,0.28,0.47,0.444,0.026,Good
5f127f643a6b1000172320a5,policy_sign,530,261,9,32,0.83,0.144,0.146,0.002,Size Too Small
5f127f643a6b1000172320a5,traffic_control_sign,813,307,17,6,0.51,0.171,0.235,0.064,Size Too Small
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f5f3a6b100017232099,information_sign,1106,0,146,109,2.87,0.19,0.421,0.23,Recheck
5f127f5f3a6b100017232099,information_sign,998,20,20,44,2.02,0.268,0.182,0.086,Good
5f127f5f3a6b100017232099,information_sign,754,250,71,15,0.55,0.12,0.094,0.026,Good
5f127f5f3a6b100017232099,information_sign,538,75,37,18,0.59,0.236,0.235,0.001,Good
5f127f5f3a6b100017232099,information_sign,481,125,32,9,2.36,0.087,0.16,0.073,Size Too Small
5f127f5f3a6b100017232099,information_sign,496,212,20,6,1.23,0.147,0.156,0.009,Size Too Small
5f127f5f3a6b100017232099,information_sign,274,1,129,29,3.01,0.162,0.108,0.055,Good
5f127f5f3a6b100017232099,non_visible_face,1010,0,38,19,0.78,0.281,0.15,0.13,Good
5f127f5f3a6b100017232099,non_visible_face,914,160,38,76,2.81,0.233,0.203,0.03,Good
5f127f5f3a6b100017232099,non_visible_face,812,85,88,86,5.02,0.281,0.347,0.066,Recheck
5f127f5f3a6b100017232099,non_visible_face,880,206,46,47,3.32,0.456,0.369,0.087,Good
5f127f5f3a6b100017232099,non_visible_face,325,82,12,27,1.1,0.346,0.186,0.161,Good
5f127f5f3a6b100017232099,non_visible_face,267,102,42,8,0.85,0.054,0.095,0.042,Size Too Small
5f127f5f3a6b100017232099,non_visible_face,121,186,24,5,0.59,0.102,0.117,0.015,Size Too Small
5f127f5f3a6b100017232099,non_visible_face,136,174,20,20,0.71,0.176,0.503,0.326,Recheck
5f127f5f3a6b100017232099,non_visible_face,182,183,11,13,0.84,0.367,0.481,0.114,Good
5f127f5f3a6b100017232099,non_visible_face,2,196,518,654,3.78,0.452,0.288,0.165,Good
5f127f5f3a6b100017232099,policy_sign,914,38,69,76,2.72,0.361,0.46,0.1,Good
5f127f5f3a6b100017232099,policy_sign,824,187,66,66,0.57,0.422,0.506,0.084,Good
5f127f5f3a6b100017232099,policy_sign,467,109,15,14,0.66,0.558,0.552,0.006,Good
5f127f5f3a6b100017232099,traffic_control_sign,835,0,41,52,1.63,0.411,0.405,0.005,Good
5f127f5f3a6b100017232099,traffic_control_sign,841,85,31,85,4.74,0.127,0.142,0.015,Good
5f127f5f3a6b100017232099,traffic_control_sign,761,276,32,28,3.0,0.25,0.353,0.103,Good
5f127f5f3a6b100017232099,traffic_control_sign,744,166,28,73,4.47,0.238,0.119,0.119,Good
5f127f5f3a6b100017232099,traffic_control_sign,531,26,51,47,0.48,0.345,0.705,0.361,Recheck
5f127f5f3a6b100017232099,traffic_control_sign,414,1,41,52,1.37,0.392,0.456,0.064,Good
5f127f5f3a6b100017232099,traffic_control_sign,455,107,10,24,1.19,0.154,0.197,0.043,Size Too Small
5f127f5f3a6b100017232099,traffic_control_sign,228,169,8,20,0.93,0.17,0.118,0.053,Size Too Small
5f127f5f3a6b100017232099,traffic_control_sign,203,0,39,31,2.09,0.307,0.542,0.235,Recheck
5f127f5f3a6b100017232099,construction_sign,559,191,32,31,2.0,0.264,0.358,0.094,Good
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f5ab1cb1300109e4ffc,non_visible_face,2182,226,23,71,1.28,0.131,0.196,0.066,Good
5f127f5ab1cb1300109e4ffc,non_visible_face,702,442,177,144,1.07,0.41,0.477,0.068,Good
5f127f5ab1cb1300109e4ffc,non_visible_face,715,316,140,131,3.82,0.452,0.414,0.038,Good
5f127f5ab1cb1300109e4ffc,non_visible_face,1154,302,20,18,0.68,0.401,0.441,0.041,Good
5f127f5ab1cb1300109e4ffc,non_visible_face,1160,322,9,10,1.01,0.555,0.436,0.119,Size Too Small
5f127f5ab1cb1300109e4ffc,non_visible_face,592,295,53,63,2.01,0.412,0.475,0.063,Good
5f127f5ab1cb1300109e4ffc,traffic_control_sign,2305,27,137,123,6.95,0.216,0.281,0.065,Recheck
5f127f5ab1cb1300109e4ffc,traffic_control_sign,1456,315,12,13,0.72,0.375,0.498,0.123,Good
5f127f5ab1cb1300109e4ffc,traffic_control_sign,2340,159,82,29,2.31,0.157,0.195,0.037,Good
5f127f5ab1cb1300109e4ffc,policy_sign,1280,341,79,117,4.51,0.324,0.329,0.005,Good
5f127f5ab1cb1300109e4ffc,policy_sign,1239,319,6,14,0.06,0.29,0.321,0.031,Size Too Small
5f127f5ab1cb1300109e4ffc,policy_sign,1672,315,19,24,0.51,0.375,0.351,0.025,Good
5f127f5ab1cb1300109e4ffc,policy_sign,1671,295,20,18,0.45,0.455,0.576,0.122,Good
5f127f5ab1cb1300109e4ffc,policy_sign,1557,299,14,12,0.36,0.414,0.594,0.179,Good
5f127f5ab1cb1300109e4ffc,policy_sign,1558,312,13,15,1.53,0.573,0.226,0.347,Recheck
5f127f5ab1cb1300109e4ffc,information_sign,1329,330,11,22,1.23,0.234,0.167,0.067,Good
5f127f5ab1cb1300109e4ffc,information_sign,213,296,26,56,1.84,0.243,0.188,0.055,Good
5f127f5ab1cb1300109e4ffc,information_sign,223,233,23,61,2.24,0.162,0.108,0.054,Good
image_name,label,x,y,width,height,alignment_error_px,v_symm_score,h_symm_score,symmetry_diff,status
5f127f55fdc4150010e37244,non_visible_face,314,622,53,67,6.75,0.189,0.411,0.222,Recheck
5f127f55fdc4150010e37244,non_visible_face,419,612,80,73,5.96,0.214,0.303,0.089,Recheck
5f127f55fdc4150010e37244,non_visible_face,395,441,55,130,11.31,0.217,0.214,0.003,Recheck
5f127f55fdc4150010e37244,non_visible_face,461,353,75,173,10.83,0.264,0.214,0.05,Recheck
5f127f55fdc4150010e37244,non_visible_face,1025,667,23,35,1.76,0.442,0.307,0.135,Good
5f127f55fdc4150010e37244,non_visible_face,1044,554,34,73,5.28,0.175,0.199,0.024,Recheck
5f127f55fdc4150010e37244,non_visible_face,1369,569,21,72,2.81,0.186,0.132,0.055,Good
5f127f55fdc4150010e37244,non_visible_face,1346,501,66,62,1.38,0.349,0.455,0.106,Good
5f127f55fdc4150010e37244,information_sign,373,559,205,44,15.01,0.095,0.109,0.014,Recheck
5f127f55fdc4150010e37244,information_sign,417,540,42,20,0.86,0.285,0.187,0.099,Good
5f127f55fdc4150010e37244,information_sign,1025,646,24,12,0.65,0.197,0.217,0.02,Good
5f127f55fdc4150010e37244,policy_sign,696,625,16,33,0.52,0.249,0.321,0.072,Good
5f127f55fdc4150010e37244,traffic_control_sign,1325,679,33,32,1.74,0.433,0.44,0.007,Good
5f127f55fdc4150010e37244,traffic_control_sign,1332,565,30,75,5.0,0.266,0.175,0.092,Good
5f127f55fdc4150010e37244,traffic_control_sign,1350,738,2,2,0.68,0.984,0.965,0.02,Size Too Small
5f127f55fdc4150010e37244,traffic_control_sign,1350.701904296875,742.207763671875,2,2,0.73,0.051,0.004,0.047,Size Too Small
5f127f55fdc4150010e37244,traffic_control_sign,1350.352783203125,746.7462158203125,2,2,0.71,0.002,0.5,0.498,Size Too Small and Recheck
5f127f55fdc4150010e37244,traffic_control_sign,1349.654541015625,743.6041870117188,2,2,0.71,0.498,0.502,0.004,Size Too Small
5f127f55fdc4150010e37244,traffic_control_sign,1352.0982666015625,740.8113403320312,2,2,0.76,0.088,0.504,0.416,Size Too Small and Recheck
5f127f55fdc4150010e37244,traffic_control_sign,1348.607177734375,740.8113403320312,2,2,0.68,0.904,0.033,0.871,Size Too Small and Recheck
5f127f55fdc4150010e37244,traffic_control_sign,1351.7491455078125,744.6515502929688,2,2,0.77,0.076,0.025,0.051,Size Too Small
